input|domain|name of organization|name of category
costargroup.com|costargroup.com|None|None
partnerize.com|partnerize.com|None|None
chegg.com|chegg.com|None|None
gogoanime.llc|gogoanime.llc|None|None
stathead.com|stathead.com|None|None
qiota.com|qiota.com|None|None
socialplus.jp|socialplus.jp|None|None
bitbucket.org|bitbucket.org|None|None
i2i.jp|i2i.jp|i2i.jp|Site Analytics
render.com|render.com|None|None
cloudlogin.co|cloudlogin.co|None|None
wp.pl|wp.pl|WP|Advertising
tcsion.com|tcsion.com|None|None
usatoday.com|usatoday.com|None|None
adobe.com|adobe.com|Adobe|Advertising
ulogin.ru|ulogin.ru|None|None
autoscout24.com|autoscout24.com|Scout 24|Misc
timberland.co.jp|timberland.co.jp|None|None
tumblr.com|tumblr.com|Verizon|Site Analytics
gravitational.com|gravitational.com|None|None
litmus.com|litmus.com|None|None
gameforge.com|gameforge.com|None|None
niagahoster.co.id|niagahoster.co.id|None|None
smaato.net|smaato.net|Verve Group|Advertising
spot.im|spot.im|Spot.IM Ltd.|Social Media
withgoogle.com|withgoogle.com|None|None
kompas.com|kompas.com|None|None
gannettdigital.com|gannettdigital.com|None|None
